device_id,recommendation,reason
1,Decommission,Zero Fill
2,Retain,Low Utilization
3,Decommission,Zero Fill
4,Retain,Low Utilization
5,Decommission,Zero Fill
6,Retain,Low Utilization
7,Decommission,Zero Fill
8,Retain,Low Utilization
9,Decommission,Zero Fill
10,Retain,Low Utilization
11,Decommission,Zero Fill
12,Retain,Low Utilization
13,Decommission,Zero Fill
14,Retain,Low Utilization
15,Decommission,Zero Fill
16,Retain,Low Utilization
17,Decommission,Zero Fill
18,Retain,Low Utilization
19,Decommission,Zero Fill
20,Retain,Low Utilization
21,Decommission,Zero Fill
22,Retain,Low Utilization
23,Decommission,Zero Fill
24,Retain,Low Utilization
25,Decommission,Zero Fill
26,Retain,Low Utilization
27,Decommission,Zero Fill
28,Retain,Low Utilization
29,Decommission,Zero Fill
30,Retain,Low Utilization
31,Decommission,Zero Fill
32,Retain,Low Utilization
33,Decommission,Zero Fill
34,Retain,Low Utilization
35,Decommission,Zero Fill
36,Retain,Low Utilization
37,Decommission,Zero Fill
38,Retain,Low Utilization
39,Decommission,Zero Fill
40,Retain,Low Utilization
41,Decommission,Zero Fill
42,Retain,Low Utilization
43,Decommission,Zero Fill
44,Retain,Low Utilization
45,Decommission,Zero Fill
46,Retain,Low Utilization
47,Decommission,Zero Fill
48,Retain,Low Utilization
49,Decommission,Zero Fill
50,Retain,Low Utilization
51,Decommission,Zero Fill
52,Retain,Low Utilization
53,Decommission,Zero Fill
54,Retain,Low Utilization
55,Decommission,Zero Fill
56,Retain,Low Utilization
57,Decommission,Zero Fill
58,Retain,Low Utilization
59,Decommission,Zero Fill
60,Retain,Low Utilization
61,Decommission,Zero Fill
62,Retain,Low Utilization
63,Decommission,Zero Fill
64,Retain,Low Utilization
65,Decommission,Zero Fill
66,Retain,Low Utilization
67,Decommission,Zero Fill
68,Retain,Low Utilization
69,Decommission,Zero Fill
70,Retain,Low Utilization
71,Decommission,Zero Fill
72,Retain,Low Utilization
73,Decommission,Zero Fill
74,Retain,Low Utilization
75,Decommission,Zero Fill
76,Retain,Low Utilization
77,Decommission,Zero Fill
78,Retain,Low Utilization
79,Decommission,Zero Fill
80,Retain,Low Utilization
81,Decommission,Zero Fill
82,Retain,Low Utilization
83,Decommission,Zero Fill
84,Retain,Low Utilization
85,Decommission,Zero Fill
86,Retain,Low Utilization
87,Decommission,Zero Fill
88,Retain,Low Utilization
89,Decommission,Zero Fill
90,Retain,Low Utilization
91,Decommission,Zero Fill
92,Retain,Low Utilization
93,Decommission,Zero Fill
94,Retain,Low Utilization
95,Decommission,Zero Fill
96,Retain,Low Utilization
97,Decommission,Zero Fill
98,Retain,Low Utilization
99,Decommission,Zero Fill
100,Retain,Low Utilization
